ID,ChrSpecID,SpellID,TraitSubTreeID,Threshold,ItemSetID
1591,0,24462,0,4,476
1593,0,24465,0,4,477
1594,0,24467,0,2,477
1604,0,24457,0,4,475
1605,0,24460,0,2,475
1615,0,41733,0,5,161
1616,0,41732,0,3,161
1617,0,41731,0,2,161
1618,0,41730,0,4,161
1619,0,41838,0,2,241
1620,0,29068,0,3,536
1621,0,28787,0,8,528
1622,0,28789,0,6,528
1623,0,28775,0,2,528
1624,0,28774,0,4,528
1627,0,41906,0,2,391
1628,0,23047,0,3,391
1629,0,41905,0,6,391
1632,0,41823,0,2,466
1634,0,24469,0,4,478
1635,0,24471,0,2,478
1637,0,41756,0,2,384
1638,0,22738,0,3,384
1639,0,41755,0,6,384
1640,0,17332,0,2,65
1641,0,41709,0,2,341
1642,0,23025,0,4,341
1643,0,41708,0,6,341
1644,0,41703,0,2,342
1645,0,23044,0,4,342
1646,0,41702,0,6,342
1649,0,41815,0,2,346
1650,0,41814,0,6,346
1651,0,23047,0,4,346
1657,0,41809,0,6,551
1658,0,23218,0,4,551
1659,0,41808,0,2,551
1660,0,26111,0,3,495
1661,0,39420,0,3,472
1662,0,41639,0,2,472
1690,0,41799,0,2,549
1691,0,23044,0,4,549
1692,0,41798,0,6,549
1693,0,41853,0,2,487
1694,0,39486,0,3,487
1695,0,23554,0,3,203
1696,0,21741,0,5,203
1697,0,23553,0,8,203
1698,0,39507,0,5,205
1699,0,23556,0,8,205
1700,0,23557,0,3,205
1701,0,23572,0,5,207
1702,0,21895,0,3,207
1703,0,23573,0,8,207
1710,0,41766,0,6,392
1711,0,23047,0,3,392
1712,0,41765,0,2,392
1713,0,41849,0,2,484
1714,0,41643,0,3,484
1715,0,23048,0,4,548
1716,0,41797,0,6,548
1717,0,41796,0,2,548
1720,0,41726,0,2,124
1721,0,41725,0,3,124
1722,0,41724,0,4,124
1723,0,41723,0,5,124
1727,0,18979,0,2,142
1728,0,23863,0,3,142
1729,0,41845,0,4,142
1730,0,26172,0,3,508
1731,0,28829,0,4,529
1732,0,28830,0,8,529
1733,0,28831,0,2,529
1734,0,28746,0,6,529
1736,0,24483,0,4,480
1737,0,24482,0,2,480
1739,0,24489,0,4,482
1740,0,24491,0,2,482
1741,0,41855,0,2,488
1742,0,41854,0,3,488
1744,0,24456,0,4,474
1745,0,24431,0,2,474
1756,0,26135,0,3,506
1760,0,41789,0,2,546
1761,0,41788,0,6,546
1762,0,23025,0,4,546
1763,0,41807,0,2,544
1764,0,41806,0,6,544
1765,0,23302,0,4,544
1766,0,41697,0,2,540
1767,0,23044,0,4,540
1768,0,41696,0,6,540
1772,0,26117,0,5,499
1773,0,26116,0,3,499
1798,0,41851,0,2,485
1799,0,41850,0,3,485
1800,0,41764,0,2,397
1801,0,41763,0,6,397
1802,0,23218,0,3,397
1811,0,41681,0,2,121
1812,0,41645,0,3,121
1813,0,41680,0,4,121
1814,0,41679,0,5,121
1833,0,41908,0,2,393
1834,0,23048,0,3,393
1835,0,41907,0,6,393
1846,0,27733,0,4,520
1848,0,41865,0,2,469
1849,0,39418,0,3,469
1864,0,41868,0,2,467
1865,0,39548,0,3,467
1866,0,41041,0,3,468
1867,0,41640,0,2,468
1868,0,41866,0,2,473
1869,0,39422,0,3,473
1875,0,41898,0,2,396
1876,0,41897,0,6,396
1877,0,23158,0,3,396
1878,0,26109,0,3,496
1879,0,26110,0,5,496
1880,0,26114,0,3,498
1881,0,26127,0,3,503
1882,0,26128,0,5,503
1885,0,41675,0,3,443
1886,0,41847,0,3,444
1887,0,21973,0,3,202
1888,0,21092,0,5,202
1889,0,23550,0,8,202
1892,0,41649,0,6,511
1893,0,41662,0,2,511
1894,0,27419,0,4,511
1895,0,41661,0,8,511
1896,0,41722,0,6,512
1897,0,41721,0,2,512
1898,0,27787,0,4,512
1899,0,41720,0,8,512
1900,0,41884,0,6,514
1901,0,41883,0,2,514
1902,0,27778,0,4,514
1903,0,41882,0,8,514
1904,0,26169,0,3,507
1905,0,26171,0,5,507
1906,0,39510,0,2,489
1907,0,39509,0,3,489
1908,0,41669,0,4,489
1909,0,41775,0,2,490
1910,0,21894,0,3,490
1911,0,28743,0,4,521
1912,0,28744,0,6,521
1913,0,28716,0,2,521
1914,0,28719,0,8,521
1915,0,41687,0,2,542
1916,0,41652,0,6,542
1917,0,23025,0,4,542
1921,0,22804,0,3,386
1922,0,41896,0,2,386
1923,0,41895,0,6,386
1924,0,41760,0,6,389
1925,0,41759,0,2,389
1926,0,23044,0,3,389
1927,0,21874,0,3,204
1928,0,21975,0,5,204
1929,0,23582,0,8,204
1930,0,41741,0,5,162
1931,0,41644,0,4,162
1932,0,41740,0,2,162
1933,0,41739,0,3,162
1946,0,41840,0,8,517
1947,0,27867,0,4,517
1948,0,41839,0,2,517
1949,0,32451,0,6,517
1953,0,41686,0,2,163
1954,0,41641,0,3,163
1955,0,41685,0,4,163
1956,0,41684,0,5,163
1957,0,41683,0,6,163
1960,0,39516,0,2,143
1981,0,24090,0,3,441
1984,0,41873,0,2,81
1985,0,17498,0,5,81
1986,0,41872,0,4,81
1987,0,41871,0,3,81
1988,0,41870,0,3,81
1989,0,41869,0,5,81
2009,0,41719,0,2,41
2012,0,21899,0,3,216
2013,0,23570,0,5,216
2014,0,23551,0,8,216
2017,0,41881,0,2,182
2018,0,27778,0,6,182
2019,0,41880,0,8,182
2020,0,41879,0,4,182
2023,0,23562,0,3,209
2024,0,21838,0,5,209
2025,0,23561,0,8,209
2029,0,22648,0,2,261
2030,0,41768,0,6,394
2031,0,23048,0,3,394
2032,0,41767,0,2,394
2033,0,23158,0,3,395
2034,0,41758,0,6,395
2035,0,41757,0,2,395
2036,0,41860,0,6,519
2037,0,41859,0,2,519
2038,0,27774,0,4,519
2039,0,41858,0,8,519
2040,0,22738,0,4,545
2041,0,41791,0,6,545
2042,0,41790,0,2,545
2043,0,41795,0,2,547
2044,0,41794,0,6,547
2045,0,23047,0,4,547
2057,0,24480,0,2,479
2058,0,24479,0,4,479
2073,0,41803,0,2,362
2074,0,23158,0,4,362
2075,0,41802,0,6,362
2076,0,41852,0,2,486
2077,0,39545,0,3,486
2083,0,23044,0,4,344
2084,0,41805,0,2,344
2085,0,41804,0,6,344
2086,0,41811,0,2,343
2087,0,23025,0,4,343
2088,0,41810,0,6,343
2089,0,41715,0,2,345
2090,0,41714,0,6,345
2091,0,23047,0,4,345
2094,0,29068,0,3,535
2095,0,23158,0,4,543
2096,0,41699,0,6,543
2097,0,41698,0,2,543
2098,0,23558,0,5,213
2099,0,21881,0,3,213
2100,0,23581,0,8,213
2101,0,39447,0,3,470
2102,0,41638,0,2,470
2105,0,28752,0,6,530
2106,0,28751,0,8,530
2107,0,28756,0,4,530
2108,0,28755,0,2,530
2115,0,21879,0,3,210
2116,0,23549,0,5,210
2117,0,22007,0,8,210
2118,0,21853,0,5,211
2119,0,21894,0,3,211
2120,0,22010,0,8,211
2121,0,41782,0,5,217
2122,0,23565,0,3,217
2123,0,23591,0,8,217
2124,0,26176,0,3,510
2135,0,41874,0,2,461
2142,0,23218,0,3,398
2143,0,41904,0,6,398
2144,0,41903,0,2,398
2145,0,29094,0,2,186
2146,0,27785,0,6,186
2147,0,41668,0,8,186
2148,0,30772,0,4,186
2166,0,41701,0,2,361
2167,0,23158,0,4,361
2168,0,41700,0,6,361
2172,0,24486,0,2,481
2173,0,24487,0,4,481
2174,0,28823,0,6,527
2175,0,29171,0,4,527
2176,0,28818,0,2,527
2177,0,28821,0,8,527
2178,0,41813,0,2,381
2179,0,23218,0,4,381
2180,0,41812,0,6,381
2181,0,23218,0,4,382
2182,0,41711,0,2,382
2183,0,41710,0,6,382
2184,0,41787,0,2,401
2185,0,41636,0,2,401
2186,0,41786,0,6,401
2187,0,23302,0,4,401
2188,0,41827,0,3,122
2189,0,41642,0,2,122
2190,0,41826,0,4,122
2191,0,41825,0,5,122
2196,0,41695,0,2,522
2197,0,23048,0,4,522
2198,0,41694,0,6,522
2199,0,28842,0,6,523
2200,0,28844,0,2,523
2201,0,28843,0,4,523
2202,0,28845,0,8,523
2203,0,28812,0,4,524
2204,0,28814,0,8,524
2205,0,28816,0,2,524
2206,0,28811,0,6,524
2207,0,28809,0,4,525
2208,0,28802,0,8,525
2209,0,28807,0,2,525
2210,0,28808,0,6,525
2211,0,28771,0,6,526
2212,0,28763,0,2,526
2213,0,28761,0,8,526
2214,0,28764,0,4,526
2227,0,9233,0,3,141
2232,0,41902,0,6,387
2233,0,41901,0,2,387
2234,0,23025,0,3,387
2235,0,26106,0,5,493
2236,0,41774,0,3,493
2237,0,41773,0,3,493
2252,0,41801,0,6,550
2253,0,41800,0,2,550
2254,0,23158,0,4,550
2273,0,41864,0,3,1
2274,0,41863,0,2,1
2275,0,41862,0,5,1
2276,0,41861,0,4,1
2277,0,29091,0,2,181
2278,0,27867,0,6,181
2279,0,41822,0,8,181
2280,0,30777,0,4,181
2287,0,41848,0,2,483
2288,0,39884,0,3,483
2299,0,26107,0,3,494
2300,0,41793,0,2,282
2301,0,41792,0,6,282
2302,0,22738,0,4,282
2303,0,41779,0,2,321
2304,0,41647,0,4,321
2305,0,41778,0,6,321
2310,0,23302,0,3,402
2311,0,41754,0,2,402
2312,0,41753,0,6,402
2313,0,41762,0,6,388
2314,0,41761,0,2,388
2315,0,23025,0,3,388
2316,0,41844,0,6,516
2317,0,41843,0,2,516
2318,0,27498,0,4,516
2319,0,41842,0,8,516
2322,0,24256,0,2,463
2329,0,41667,0,6,515
2330,0,41666,0,2,515
2331,0,27785,0,4,515
2332,0,41665,0,8,515
2333,0,21928,0,5,215
2334,0,23578,0,8,215
2335,0,23559,0,3,215
2336,0,23563,0,3,218
2337,0,21890,0,5,218
2338,0,23548,0,8,218
2347,0,41677,0,2,491
2348,0,41651,0,3,491
2349,0,41817,0,2,348
2350,0,23048,0,4,348
2351,0,41816,0,6,348
2352,0,41780,0,2,144
2353,0,41690,0,2,281
2354,0,41653,0,6,281
2355,0,22738,0,4,281
2356,0,41693,0,2,301
2357,0,41692,0,6,301
2358,0,22804,0,4,301
2367,0,41772,0,6,221
2368,0,41738,0,2,183
2369,0,27780,0,6,183
2370,0,41737,0,8,183
2371,0,41736,0,4,183
2372,0,41888,0,6,383
2373,0,22738,0,3,383
2374,0,41887,0,2,383
2375,0,26118,0,3,500
2376,0,26122,0,5,501
2377,0,26119,0,3,501
2378,0,29068,0,3,534
