ID,Name_lang,Description_lang,MinLevel,MaxLevel,TypeID,Subtype,Faction,IconTextureFileID,RewardsBgTextureFileID,PopupBgTextureFileID,ExpansionLevel,MapID,DifficultyID,MinGear,Group_ID,Order_index,Required_player_condition_ID,Field_1_15_8_63829_017,Field_1_15_8_63829_018,Field_1_15_8_63829_019,Random_ID,ScenarioID,FinalEncounterID,Count_tank,Count_healer,Count_damage,Min_count_tank,Min_count_healer,Min_count_damage,Max_premade_count_tank,Max_premade_count_healer,Max_premade_count_damage,Bonus_reputation_amount,Field_5_5_4_67090_033,Field_5_5_4_67090_034,Flags_0,Flags_1
1,哀嚎洞穴,,17,25,1,1,-1,136364,0,0,0,43,1,0,1,0,0,19,17,25,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
2,通灵学院,,57,65,1,1,-1,136355,0,0,0,289,1,0,1,0,0,60,57,65,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
4,怒焰裂谷,,15,20,1,1,-1,136350,0,0,0,389,1,0,1,0,0,16,15,20,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
6,死亡矿井,,17,25,1,1,-1,136332,0,0,0,36,1,0,1,0,0,19,17,25,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
8,影牙城堡,,18,26,1,1,-1,136357,0,0,0,33,1,0,1,0,0,20,18,26,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
10,黑暗深渊,,21,30,1,1,-1,136325,0,0,0,48,1,0,1,0,0,23,21,30,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
12,暴风城监狱,,22,30,1,1,-1,136358,0,0,0,34,1,0,1,0,0,24,22,30,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
14,诺莫瑞根,,25,33,1,1,-1,136336,0,0,0,90,1,0,1,0,0,27,25,33,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
16,剃刀沼泽,,24,32,1,1,-1,136353,0,0,0,47,1,0,1,0,0,26,24,32,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
18,"血色修道院 - 墓地",,29,37,1,1,-1,136354,0,0,0,189,1,0,1,0,0,31,29,37,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
20,剃刀高地,,34,42,1,1,-1,136352,0,0,0,129,1,0,1,0,0,36,34,42,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
22,奥达曼,,37,45,1,1,-1,136363,0,0,0,70,1,0,1,0,0,39,37,45,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
24,祖尔法拉克,,43,51,1,1,-1,136368,0,0,0,209,1,0,1,0,0,45,43,51,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
26,玛拉顿－橙色水晶入口,,43,51,1,1,-1,136345,0,0,0,349,1,0,1,0,0,45,43,51,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
28,沉没的神庙,,47,55,1,1,-1,136360,0,0,0,109,1,0,1,0,0,49,47,55,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
30,黑石深渊－监狱区,,49,57,1,1,-1,136326,0,0,0,230,1,0,1,0,0,51,49,57,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
32,黑石塔下层,,57,65,1,1,-1,136327,0,0,0,229,1,0,1,0,0,58,57,65,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
34,"厄运之槌 - 东",,55,63,1,1,-1,136333,0,0,0,429,1,0,1,0,0,57,55,63,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
36,"厄运之槌 - 西",,58,65,1,1,-1,136333,0,0,0,429,1,0,1,0,0,58,58,65,258,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
38,"厄运之槌 - 北",,57,65,1,1,-1,136333,0,0,0,429,1,0,1,0,0,60,57,65,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
40,斯坦索姆－正门,,57,65,1,1,-1,136359,0,0,0,329,1,0,1,0,0,60,57,65,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
42,祖尔格拉布,,56,83,2,2,-1,136369,0,0,0,309,148,0,6,0,0,60,57,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,黑石塔上层,,56,83,2,2,-1,136327,0,0,0,229,1,0,6,0,0,60,57,63,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
46,奥妮克希亚的巢穴,,80,83,2,2,-1,0,0,0,2,249,3,90,8,0,0,80,80,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,熔火之心,,60,83,2,2,-1,136346,0,0,0,409,9,0,6,0,0,60,60,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,黑翼之巢,,60,83,2,2,-1,136329,0,0,0,469,9,0,6,0,0,60,60,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,艾尔文森林,,1,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,西部荒野,,8,24,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,暮色森林,,18,34,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,丹莫罗,,1,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,洛克莫丹,,8,24,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,湿地,,18,34,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,荆棘谷,,28,50,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,诅咒之地,,43,60,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,悲伤沼泽,,33,50,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,赤脊山,,13,30,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,燃烧平原,,48,60,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,灼热峡谷,,43,60,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,荒芜之地,,33,50,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,阿拉希高地,,28,44,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,希尔斯布莱德丘陵,,18,34,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,辛特兰,,38,54,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,西瘟疫之地,,48,60,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,东瘟疫之地,,53,63,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,提瑞斯法林地,,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,银松森林,,8,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,奥特兰克山脉,,28,44,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,杜隆塔尔,,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,莫高雷,,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,贫瘠之地,,8,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,石爪山脉,,13,32,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,千针石林,,23,40,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,凄凉之地,,28,44,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,菲拉斯,,38,54,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,尘泥沼泽,,33,50,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,塔纳利斯,,38,54,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,安戈洛环形山,,45,60,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,希利苏斯,,53,60,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,泰达希尔,,1,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,黑海岸,,8,24,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,灰谷,,18,34,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,费伍德森林,,46,60,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,艾萨拉,,43,60,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,冬泉谷,,53,63,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,地狱火城墙,,59,67,1,1,-1,136338,0,0,1,543,1,0,2,0,0,63,59,67,259,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
137,鲜血熔炉,,61,68,1,1,-1,136338,0,0,1,542,1,0,2,0,0,64,61,68,259,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
138,破碎大厅,,69,75,1,1,-1,136338,0,0,1,540,1,0,2,0,0,70,69,75,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
140,奴隶围栏,,62,69,1,1,-1,136331,0,0,1,547,1,0,2,0,0,65,62,69,259,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
146,幽暗沼泽,,63,70,1,1,-1,136331,0,0,1,546,1,0,2,0,0,66,63,70,259,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
147,蒸汽地窟,,69,75,1,1,-1,136331,0,0,1,545,1,0,2,0,0,70,69,75,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
148,法力陵墓,,64,71,1,1,-1,136323,0,0,1,557,1,0,2,0,0,67,64,71,259,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
149,奥金尼地穴,,65,72,1,1,-1,136323,0,0,1,558,1,0,2,0,0,68,65,72,259,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
150,塞泰克大厅,,67,73,1,1,-1,136323,0,0,1,556,1,0,2,0,0,69,67,73,259,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0
