ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,RaidOffset,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,Field_1_15_4_56400_021,Flags_0,Flags_1,Flags_2
0,Azeroth,东部王国,,,,,1,0,0,0,4,-1,-1,-1,0,1,0,-1,0,0,804940,0,16858641,135528448,130
1,Kalimdor,卡利姆多,,,,,1,0,0,0,3,-1,-1,-1,0,1,0,-1,0,0,804935,0,16858641,135528448,130
30,PVPZone01,奥特兰克山谷,"在奥特兰克山脉的深处，是萨尔的嫡系氏族——霜狼氏族的家园，奥特兰克山谷。

矮人中的雷矛部族在这里建造了一座要塞，并试图深入山谷寻找宝藏，还有关于他们起源的线索。

无法忍受这种侵犯的霜狼氏族已经集结了一支军队，随时准备与敌人展开血战。","在奥特兰克山脉的深处，是萨尔的嫡系氏族——霜狼氏族的家园，奥特兰克山谷。

矮人中的雷矛部族在这里建造了一座要塞，并试图深入山谷寻找宝藏，还有关于他们起源的线索。

无法忍受这种侵犯的霜狼氏族已经集结了一支军队，随时准备与敌人展开血战。",,,1,3,0,0,104,-1,-1,-1,0,1,0,-1,0,0,0,0,81425,134479880,130
33,Shadowfang,影牙城堡,,,,,1,1,0,0,204,-1,-1,-1,0,1,0,0,10,0,0,0,81425,134479872,130
34,StormwindJail,暴风城监狱,,,,,2,1,0,717,194,-1,-1,-1,0,1,0,0,10,0,0,0,67073,134217728,130
35,StormwindPrison,<unused>StormwindPrison,,,,,2,0,0,717,23,-1,-1,-1,0,1,0,0,0,0,0,0,67073,134217736,130
36,DeadminesInstance,死亡矿井,,,,,1,1,0,0,142,-1,-1,-1,0,1,0,0,10,0,0,0,81425,134479872,130
43,WailingCaverns,哀嚎洞穴,,,,,2,1,0,718,143,-1,-1,-1,0,1,0,1,10,0,0,0,67073,134217728,130
44,Monastery,"<unused> Monastery",,,,,2,1,0,0,42,-1,-1,-1,0,1,0,0,10,0,0,0,67073,134217736,130
47,RazorfenKraulInstance,剃刀沼泽,,,,,1,1,0,0,188,-1,-1,-1,0,1,0,1,10,0,0,0,81425,134479872,130
48,Blackfathom,黑暗深渊,,,,,2,1,0,719,196,-1,-1,-1,0,1,0,1,10,0,0,0,67073,134217728,130
70,Uldaman,奥达曼,,,,,2,1,0,1337,144,-1,-1,-1,0,1,0,0,10,0,0,0,67073,134217728,130
90,GnomeragonInstance,诺莫瑞根,,,,,2,1,0,721,193,-1,-1,-1,0,1,0,0,10,0,0,0,67073,134217728,130
109,SunkenTemple,沉没的神庙,,,,,2,1,0,1477,191,-1,-1,-1,0,1,0,0,10,0,0,0,67073,134217728,130
129,RazorfenDowns,剃刀高地,,,,,1,1,0,0,145,-1,-1,-1,0,1,0,1,10,0,0,0,81425,134479872,130
169,EmeraldDream,翡翠梦境,,,,,1,2,0,0,0,-1,-1,-1,0,1,0,-1,40,0,0,0,16858641,134479872,130
189,MonasteryInstances,血色修道院,,,,,1,1,0,0,190,-1,-1,-1,0,1,0,0,10,0,0,0,81425,134479872,130
209,TanarisInstance,祖尔法拉克,,,,,1,1,0,0,146,-1,-1,-1,0,1,0,1,10,0,0,0,81425,134479872,130
229,BlackRockSpire,黑石塔,,,,,2,1,0,1583,189,-1,-1,-1,0,1,0,0,10,0,0,0,67073,134217728,130
230,BlackrockDepths,黑石深渊,,,,,2,1,0,1584,103,-1,-1,-1,0,1,0,0,5,0,0,0,67073,134217728,130
249,OnyxiaLairInstance,奥妮克希亚的巢穴,,,,,2,2,0,2159,61,-1,-1,-1,0,1,0,1,40,0,0,0,16844289,134217728,130
269,CavernsOfTime,开启黑暗之门,,,,,1,1,1,0,212,-1,-1,-1,0,1,0,1,5,0,0,0,81425,134479872,130
289,SchoolofNecromancy,通灵学院,,,,,1,1,0,0,102,-1,-1,-1,0,1,0,0,5,0,0,0,81425,134479872,130
309,Zul'gurub,祖尔格拉布,,,,,1,2,0,1977,161,-1,-1,-1,0,1,0,0,20,0,0,0,16858641,134479872,130
329,Stratholme,斯坦索姆,,,,,1,1,0,0,101,-1,-1,-1,0,1,0,0,5,0,0,0,81425,134479872,130
349,Mauradon,玛拉顿,,,,,2,1,0,2100,81,-1,-1,-1,0,1,0,1,10,0,0,0,67073,134217728,130
369,DeeprunTram,矿道地铁,,,,,2,0,0,2257,205,-1,-1,-1,0,1,0,0,0,0,0,0,67073,135266312,130
389,OrgrimmarInstance,怒焰裂谷,,,,,2,1,0,2437,195,-1,-1,-1,0,1,0,1,10,0,0,0,67073,134217728,130
409,MoltenCore,熔火之心,,,,,2,2,0,2717,192,-1,-1,-1,0,1,0,0,40,0,0,0,16844289,134217728,130
429,DireMaul,厄运之槌,,,,,2,1,0,2557,82,-1,-1,-1,0,1,0,1,5,0,0,0,67073,134217728,130
449,AlliancePVPBarracks,联盟PvP兵营,,,,,2,0,0,2918,181,-1,-1,-1,0,1,0,-1,0,0,0,0,67073,135266304,130
450,HordePVPBarracks,部落PvP兵营,,,,,2,0,0,2917,182,-1,-1,-1,0,1,0,-1,0,0,0,0,67073,135266304,130
469,BlackwingLair,黑翼之巢,,,,,1,2,0,2677,141,-1,-1,-1,0,1,0,0,40,0,0,0,16858641,134479872,130
489,PVPZone03,战歌峡谷,"在位于灰谷森林和贫瘠之地交界处的战歌峡谷中，联盟和部落之间的战争一直在激烈地进行着。

兽人在这里建立了战歌伐木场，不断砍伐灰谷森林的树木，这使得银翼要塞的暗夜精灵非常愤怒。

为了帮助自己的盟友取得胜利，联盟和部落的勇士不断加入这片战场，用自己的剑和魔法与敌人展开厮杀。","在位于灰谷森林和贫瘠之地交界处的战歌峡谷中，联盟和部落之间的战争一直在激烈地进行着。

兽人在这里建立了战歌伐木场，不断砍伐灰谷森林的树木，这使得银翼要塞的暗夜精灵非常愤怒。

为了帮助自己的盟友取得胜利，联盟和部落的勇士不断加入这片战场，用自己的剑和魔法与敌人展开厮杀。",,,1,3,0,3277,122,-1,-1,-1,0,1,0,-1,0,0,0,0,81425,134479872,130
509,AhnQiraj,安其拉废墟,,,,,1,2,0,3429,184,-1,-1,-1,0,1,68400,1,20,0,0,0,16858641,134479872,130
529,PVPZone04,阿拉希盆地,"阿拉希盆地是人类和被遗忘者之间的主要战场之一。

阿拉索帝国的后代想要为暴风城夺回更多的失地，

而污染者的精锐部队的目标是切断人类和他们的矮人同盟之间的联络。","阿拉希盆地是人类和被遗忘者之间的主要战场之一。

阿拉索帝国的后代想要为暴风城夺回更多的失地，

而污染者的精锐部队的目标是切断人类和他们的矮人同盟之间的联络。",,,1,3,0,3358,183,-1,-1,-1,0,1.25,0,-1,0,0,0,0,81425,134479872,130
530,Expansion01,外域,,,,,1,0,0,0,198,-1,-1,-1,0,1,0,-1,0,0,804943,0,16784913,135528456,130
531,AhnQirajTemple,安其拉神殿,,,,,1,2,0,3428,185,-1,-1,-1,0,1,0,1,40,0,0,0,16793105,134479872,130
532,Karazahn,卡拉赞,,,,,1,2,1,3457,200,-1,-1,-1,0,1,0,0,10,0,0,0,16793105,134479872,130
533,"Stratholme Raid",纳克萨玛斯,,,,,1,2,2,3456,197,-1,-1,-1,0,1,0,-1,25,0,0,0,16793105,134479872,262274
534,HyjalPast,海加尔山之战,,,,,1,2,1,616,212,-1,-1,-1,0,1,0,1,25,0,0,0,16793105,134479872,130
540,HellfireMilitary,地狱火堡垒：破碎大厅,,,,,2,1,1,3714,199,-1,-1,-1,0,1,0,530,5,0,0,0,1537,134217728,130
542,HellfireDemon,地狱火堡垒：鲜血熔炉,,,,,2,1,1,3713,199,-1,-1,-1,0,1,0,530,5,0,0,0,1537,134217728,130
543,HellfireRampart,地狱火堡垒：城墙,,,,,1,1,1,3562,199,-1,-1,-1,0,1,0,530,5,0,0,0,81425,134479872,130
544,HellfireRaid,玛瑟里顿的巢穴,,,,,2,2,1,3836,208,-1,-1,-1,0,1,0,530,25,0,0,0,16778753,134217728,130
