ID,Name_lang,BackgroundFile,Description_lang,OrderIndex,Field_4_4_0_53627_004,ClassMask,CategoryEnumID,SpellIconID,RoleMask,MasterySpellID[0],MasterySpellID[1]
41,火焰,MageFire,,1,2047,128,0,135810,0,0,0
61,冰霜,MageFrost,,2,2047,128,0,135846,0,0,0
81,奥术,MageArcane,,0,2047,128,0,135932,0,0,0
161,武器,WarriorArms,,0,2047,1,0,132292,0,0,0
163,防护,WarriorProtection,,2,2047,1,0,134952,0,0,0
164,狂怒,WarriorFury,,1,2047,1,0,132347,0,0,0
181,战斗,RogueCombat,,1,2047,8,0,132090,0,0,0
182,奇袭,RogueAssassination,,0,2047,8,0,132292,0,0,0
183,敏锐,RogueSubtlety,,2,2047,8,0,132320,0,0,0
201,戒律,PriestDiscipline,,0,2047,16,0,135987,0,0,0
202,神圣,PriestHoly,,1,2047,16,0,237542,0,0,0
203,暗影,PriestShadow,,2,2047,16,0,136207,0,0,0
261,元素,ShamanElementalCombat,,0,2047,64,0,136048,0,0,0
262,恢复,ShamanRestoration,,2,2047,64,0,136052,0,0,0
263,增强,ShamanEnhancement,,1,2047,64,0,136051,0,0,0
281,野性战斗,DruidFeralCombat,,1,2047,1024,0,132276,0,0,0
282,恢复,DruidRestoration,,2,2047,1024,0,136041,0,0,0
283,平衡,DruidBalance,,0,2047,1024,0,136096,0,0,0
301,毁灭,WarlockDestruction,,2,2047,256,0,136186,0,0,0
302,痛苦,WarlockCurses,,0,2047,256,0,136145,0,0,0
303,恶魔学识,WarlockSummoning,,1,2047,256,0,136172,0,0,0
361,野兽控制,HunterBeastMastery,,0,2047,4,0,132164,0,0,0
362,生存,HunterSurvival,,2,2047,4,0,132215,0,0,0
363,射击,HunterMarksmanship,,1,2047,4,0,132222,0,0,0
381,惩戒,PaladinCombat,,2,2047,2,0,135873,0,0,0
382,神圣,PaladinHoly,,0,2047,2,0,135920,0,0,0
383,防护,PaladinProtection,,1,2047,2,0,135893,0,0,0
398,鲜血,DeathKnightBlood,,0,-260097,32,0,135770,0,0,0
399,冰霜,DeathKnightFrost,,1,2047,32,0,135773,0,0,0
400,邪恶,DeathKnightUnholy,,2,2047,32,0,135775,0,0,0
409,坚韧,HunterPetTenacity,,0,0,0,2,132183,0,0,0
410,狂野,HunterPetFerocity,,0,0,0,1,132143,0,0,0
411,狡诈,HunterPetCunning,,0,0,0,4,132168,0,0,0
