FileDataID,Icon
132330,ability_upgrademoonglaive
132400,inv_axe_09
132487,inv_bannerpvp_03
132491,inv_belt_02
132492,inv_belt_03
132493,inv_belt_04
132495,inv_belt_06
132496,inv_belt_07
132498,inv_belt_09
132500,inv_belt_11
132501,inv_belt_12
132502,inv_belt_13
132503,inv_belt_14
132507,inv_belt_18
132510,inv_belt_21
132511,inv_belt_22
132512,inv_belt_23
132513,inv_belt_24
132515,inv_belt_26
132516,inv_belt_27
132517,inv_belt_28
132518,inv_belt_29
132519,inv_belt_30
132521,inv_belt_32
132525,inv_belt_36
132539,inv_boots_05
132541,inv_boots_07
132542,inv_boots_08
132548,inv_boots_chain_05
132550,inv_boots_chain_07
132551,inv_boots_chain_08
132556,inv_boots_chain_13
132561,inv_boots_cloth_04
132562,inv_boots_cloth_05
132576,inv_boots_cloth_19
132583,inv_boots_plate_02
132584,inv_boots_plate_03
132585,inv_boots_plate_04
132586,inv_boots_plate_05
132587,inv_boots_plate_06
132589,inv_boots_plate_08
132590,inv_boots_plate_09
132592,inv_boots_wolf
132596,inv_box_03
132597,inv_box_04
132601,inv_bracer_02
132602,inv_bracer_03
132603,inv_bracer_04
132605,inv_bracer_06
132606,inv_bracer_07
132607,inv_bracer_08
132608,inv_bracer_09
132609,inv_bracer_10
132615,inv_bracer_16
132616,inv_bracer_17
132617,inv_bracer_18
132618,inv_bracer_19
132625,inv_chest_chain_03
132627,inv_chest_chain_05
132633,inv_chest_chain_11
132635,inv_chest_chain_13
132639,inv_chest_chain_17
132644,inv_chest_cloth_03
132647,inv_chest_cloth_06
132648,inv_chest_cloth_07
132650,inv_chest_cloth_09
132657,inv_chest_cloth_16
132659,inv_chest_cloth_18
132667,inv_chest_cloth_26
132670,inv_chest_cloth_29
132679,inv_chest_cloth_38
132715,inv_chest_fur
132716,inv_chest_leather_01
132722,inv_chest_leather_07
132737,inv_chest_plate02
132738,inv_chest_plate03
132741,inv_chest_plate06
132742,inv_chest_plate07
132751,inv_chest_plate16
132752,inv_chest_plate18
132757,inv_chest_plate_23
132768,inv_crown_02
132790,inv_drink_03
132791,inv_drink_04
132795,inv_drink_08
132797,inv_drink_10
132833,inv_egg_02
132878,inv_enchant_shardglowinglarge
132937,inv_gauntlets_03
132939,inv_gauntlets_05
132941,inv_gauntlets_07
132944,inv_gauntlets_10
132945,inv_gauntlets_11
132948,inv_gauntlets_14
132951,inv_gauntlets_17
132953,inv_gauntlets_19
132955,inv_gauntlets_21
132956,inv_gauntlets_22
132957,inv_gauntlets_23
132959,inv_gauntlets_25
132960,inv_gauntlets_26
132961,inv_gauntlets_27
132962,inv_gauntlets_28
132963,inv_gauntlets_29
132973,inv_gauntlets_50
132994,inv_gauntlets_71
132996,inv_gizmo_02
133041,inv_hammer_04
133042,inv_hammer_05
133054,inv_hammer_17
133066,inv_hammer_unique_sulfuras
133073,inv_helmet_05
133074,inv_helmet_06
133076,inv_helmet_08
133077,inv_helmet_09
133085,inv_helmet_105
133089,inv_helmet_109
133103,inv_helmet_121
133107,inv_helmet_125
133117,inv_helmet_15
133118,inv_helmet_16
133120,inv_helmet_18
133123,inv_helmet_21
133124,inv_helmet_22
133126,inv_helmet_24
133131,inv_helmet_29
